# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.save.cache.to.file.ms,1765648965480000000,1765649025054000000,248
workspaceModel.do.save.caches.ms,1765648965480000000,1765649025054000000,83
workspaceModel.mutableEntityStorage.remove.entity.ms,1765648965480000000,1765649025054000000,0
workspaceModel.moduleBridge.before.changed.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1765648965480000000,1765649025054000000,0
workspaceModel.load.cache.from.file.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1765648965480000000,1765649025054000000,2
workspaceModel.delayed.project.synchronizer.sync.ms,1765648965480000000,1765649025054000000,0
jps.global.handle.changed.events.ms,1765648965480000000,1765649025054000000,0
jps.app.storage.content.reader.load.component.ms,1765648965480000000,1765649025054000000,0
jps.global.get.library.by.name.ms,1765648965480000000,1765649025054000000,0
workspaceModel.sync.entities.ms,1765648965480000000,1765649025054000000,10
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1765648965480000000,1765649025054000000,0
jps.save.changed.project.entities.ms,1765648965480000000,1765649025054000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1765648965480000000,1765649025054000000,18
jps.load.project.to.empty.storage.ms,1765648965480000000,1765649025054000000,91
workspaceModel.moduleManagerBridge.load.all.modules.ms,1765648965480000000,1765649025054000000,4
jps.global.initialize.library.bridges.after.loading.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1765648965480000000,1765649025054000000,77
jps.facet.change.listener.init.bridge.ms,1765648965480000000,1765649025054000000,2
workspaceModel.moduleManagerBridge.load.module.ms,1765648965480000000,1765649025054000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1765648965480000000,1765649025054000000,0
jps.global.get.library.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1765648965480000000,1765649025054000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1765648965480000000,1765649025054000000,0
jps.library.entities.serializer.save.entities.ms,1765648965480000000,1765649025054000000,0
jps.library.entities.serializer.load.entities.ms,1765648965480000000,1765649025054000000,4
jps.global.get.libraries.ms,1765648965480000000,1765649025054000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1765648965480000000,1765649025054000000,0
jps.project.serializers.save.ms,1765648965480000000,1765649025054000000,0
jps.artifact.entities.serializer.save.entities.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1765648965480000000,1765649025054000000,4
workspaceModel.global.updates.ms,1765648965480000000,1765649025054000000,28
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1765648965480000000,1765649025054000000,5
workspaceModel.load.cache.metadata.from.file.ms,1765648965480000000,1765649025054000000,0
jps.storage.jps.conf.reader.load.component.ms,1765648965480000000,1765649025054000000,19
workspaceModel.moduleBridgeLoader.loading.modules.ms,1765648965480000000,1765649025054000000,180
jps.project.serializers.load.ms,1765648965480000000,1765649025054000000,15
jps.facet.change.listener.process.change.events.ms,1765648965480000000,1765649025054000000,1
jps.save.global.entities.ms,1765648965480000000,1765649025054000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1765648965480000000,1765649025054000000,14
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1765648965480000000,1765649025054000000,15
jps.facet.change.listener.before.change.events.ms,1765648965480000000,1765649025054000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1765648965480000000,1765649025054000000,5
jps.artifact.entities.serializer.load.entities.ms,1765648965480000000,1765649025054000000,5
jps.modifiable.module.model.bridge.disposing.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1765648965480000000,1765649025054000000,0
jps.reload.project.entities.ms,1765648965480000000,1765649025054000000,0
DiskQueryRelay.tasksExecuted,1765648965480000000,1765649025054000000,120062
parser.HTML.time.ns,1765648965480000000,1765649025054000000,31556435
writeAction.max.wait.ms,1765648965480000000,1765649025054000000,22
DiskQueryRelay.tasksRequested,1765648965480000000,1765649025054000000,120061
DiskQueryRelay.taskWaitingTotalTimeUs,1765648965480000000,1765649025054000000,38049456
parser.XML.size.bytes,1765648965480000000,1765649025054000000,5059
lexer.HTML.size.bytes,1765648965480000000,1765649025054000000,54547
writeAction.median.wait.ms,1765648965480000000,1765649025054000000,0
parser.XML.time.ns,1765648965480000000,1765649025054000000,43677720
lexer.HTML.time.ns,1765648965480000000,1765649025054000000,26747513
writeAction.wait.ms,1765648965480000000,1765649025054000000,27
DiskQueryRelay.taskExecutionTotalTimeUs,1765648965480000000,1765649025054000000,21762522
parser.HTML.size.bytes,1765648965480000000,1765649025054000000,54547
lexer.XML.size.bytes,1765648965480000000,1765649025054000000,5059
writeAction.count,1765648965480000000,1765649025054000000,20
lexer.XML.time.ns,1765648965480000000,1765649025054000000,8699495
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1765648965480000000,1765649025054000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1765648965480000000,1765649025054000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1765648965480000000,1765649025054000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1765648965480000000,1765649025054000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1765648965480000000,1765649025054000000,0
compiler.ArtifactManagerBridge.commit.ms,1765648965480000000,1765649025054000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1765648965480000000,1765649025054000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1765648965480000000,1765649025054000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1765648965480000000,1765649025054000000,0
cacheStateStorage.get.duration,1765648965480000000,1765649025054000000,0
cacheStateStorage.set.counter,1765648965480000000,1765649025054000000,3
cacheStateStorage.set.duration,1765648965480000000,1765649025054000000,15
cacheStateStorage.get.counter,1765648965480000000,1765649025054000000,14
JVM.totalTimeAtSafepointsMs,1765648965480000000,1765649025054000000,1628
